[理工] 離散6-65觀念！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 起點跟終點只算一次...  不是你想的算兩次, 12/01 16:19
[理工] 離散6-65觀念！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 起點=終點  但他們只算一次   就是HC的定義, 12/01 16:21
[理工] 演算法Graph  選項中的英文看不懂QQ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 問一下c選項的if 是搭配後面那句嗎？  感覺逗號的地方有點, 11/29 15:22
[理工] 演算法Graph  選項中的英文看不懂QQ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 奇怪, 11/29 15:22
[請益] 中山電機己備取 - 看板 graduate - 批踢踢實業坊,q79236,: 推個心痛教授,   1.175.151.71 03/11 02:02
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 1.是  2.因為在block狀態  所以Os會判定Cpu可以做更多的工, 12/01 01:14
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 作  所以引進更多的process  3.你可以再看你的敘述一次, 12/01 01:14
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 裡面有矛盾點, 12/01 01:14
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 不是敘述有矛盾點   是敘述跟thrashing發生的條件有矛盾, 12/01 01:18
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: “那只要引進的process沒有frame不夠的問題”  thrashing, 12/01 09:42
[理工] OS thrashing之定義！ - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 發生的條件就是frame不足呀, 12/01 09:42
"[理工] (logn)! 與 log(n!)哪個成長率高,大 - 看板 Grad-ProbAsk - 批踢踢實業坊",q79236,: https://i.imgur.com/1WC2VLZ.jpg, 11/22 19:12
"[理工] (logn)! 與 log(n!)哪個成長率高,大 - 看板 Grad-ProbAsk - 批踢踢實業坊",q79236,: 我算出來跟老師的答案一樣耶, 11/22 19:12
[理工] 資結Heap Sort - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 圖二只是在說明可能造成unstable的情況而已, 11/24 01:44
[理工] 資結Heap Sort - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 我覺得83+在上面的可能性也是有的   這樣話主要是為了順便, 11/24 01:48
[理工] 資結Heap Sort - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 配合說明1而已, 11/24 01:48
[理工] 線代 黃子嘉題庫 1-7 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 有人可以幫忙翻譯這題的語意嗎？ 一直無法理解, 11/20 01:16
[理工] 線代 黃子嘉題庫 1-7 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 瞭解了  感謝R大, 11/20 01:45
[請益] 大碩資工所一些問題 - 看板 graduate - 批踢踢實業坊,q79236,: 樓上有報的全正取   好扯喔,223.137.151.170 03/10 17:28
[理工] os題庫 T2 交談系統  - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 使用SJF有starvations 的問題  有可能會造成某一個process, 11/21 13:21
[理工] os題庫 T2 交談系統  - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 無法取得資源  該user的work也遲遲無法得到回應  所以不太, 11/21 13:21
[理工] os題庫 T2 交談系統  - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 適合, 11/21 13:21
[討論] 交大資甲計系成績計算 - 看板 graduate - 批踢踢實業坊,q79236,: 我有多耶,  140.121.44.82 03/08 16:22
[理工] 線代題庫班p5! - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 對角線值皆不為零的上三角矩陣才可逆  因為三角矩陣的det, 11/17 20:51
[理工] 線代題庫班p5! - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 值為對角線相乘  （可以用展開來證明）, 11/17 20:51
[理工] 線代 QR分解 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 你的Q沒有行獨立  所以不能, 11/18 20:35
[理工] OS題庫 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: d只是說大概可以視為 e是因為在ready queue中的process又, 11/13 17:42
[理工] OS題庫 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 不會取得資源  所以不會有任何的運作, 11/13 17:42
[理工] OS 題庫第一章 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 應該沒有interrupt controller這個詞吧？, 11/08 13:19
[理工] os 題庫班講義 interrupt - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 或許翻譯成  軟體觸發造成硬體工作的interrupt 或許這樣會, 11/08 13:13
[理工] os 題庫班講義 interrupt - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 比較好  感覺OS有很多類似這種問題  只能去猜他的意思了, 11/08 13:13
[閒聊] 師大放榜集氣 - 看板 graduate - 批踢踢實業坊,q79236,: 我要清大RRRRRRRRR,   114.136.7.93 03/06 12:07
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 已知：這是一個可以對角化的特殊矩陣 ，有n-1個相同的eige, 10/29 23:23
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: nvalue ，1個與前面不同的eigenvalue  知道這些就可以快速, 10/29 23:23
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 推導了, 10/29 23:23
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 附上證明, 10/29 23:25
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: https://i.imgur.com/okDw9Mt.jpg, 10/29 23:25
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 你應該是指相異的特徵根數量有沒有辦法判斷吧？, 10/29 23:37
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 答案是沒有的喔   如果是所有特徵根的數量n*n矩陣就會有n, 10/29 23:37
[理工] 線代 5-106 - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 個特徵根, 10/29 23:37
[理工] 線代 第三章 TorF - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 一般來說我們的體會取實數  所以造成除了零空間以外只要有, 10/26 01:51
[理工] 線代 第三章 TorF - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 一個向量就會產生無限個向量  而這題給你了一個例子  體取, 10/26 01:51
[理工] 線代 第三章 TorF - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 有限個（就是0與1）可以根據離散第九張的定義知道它是體, 10/26 01:51
[理工] 線代 第三章 TorF - 看板 Grad-ProbAsk - 批踢踢實業坊,q79236,: 然後向量取有限個  會造成整個vector space也是有限個, 10/26 01:51
