[心得] 108資工所考試心得 - 看板 graduate - 批踢踢實業坊,magic83v,: 凹嗚>\\\\\\<,    39.8.132.68 05/05 23:07
[理工] 計組第二章 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 應該是removed ,而不是說missed", 03/24 22:18
106成大資結(7) （9）求詳解 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: QQ不會寫, 02/24 07:28
[理工] 北科大資工試題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 說是程式設計 但其實考的也幾乎都是資結筆記裡的程式碼,02/23 06:19
[理工] 北科大資工試題 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  加油,02/23 06:19
108 成大數學 1 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 每題都勇敢的乘開你會看到漂亮的答案, 02/23 16:39
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/8puG1ZR.jpg, 02/20 19:12
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: R大我紅筆的畫線的地方 是固定選好的 固定位置 剩下的, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 排列嗎？, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 還有上半跟下半的作法好像不一樣?, 02/20 19:13
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/lhvuuLx.jpg, 02/20 19:26
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 感謝你的答案 能請你幫我看一下我的這段疑問嗎, 02/20 19:26
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我好像知道了0.0 順序給定的情況 不用討論換位, 02/20 19:31
[理工] 成大 96離散 排組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 第二題子嘉分類題庫4-65, 02/21 17:21
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 違法記憶體存取, 02/20 19:28
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 為什麼不算0.0, 02/21 16:40
[理工] 107成大電通 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 但是是cpu去存取違法位址 (? 我也不確定, 02/21 17:21
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 有沒有n個點都不同set 的情況 第一次find要找n個set?, 02/21 22:22
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 最快的怪怪的(? 那換成dfs 也對嗎, 02/22 00:41
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 所以1.A可以 2.A也對嗎q, 02/22 13:30
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 4你覺得哪個對, 02/22 15:10
[理工] 106 成大電通 資結 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: ok 感謝各位, 02/22 19:39
[理工] 107成大（2）Jordan form - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 都可以, 02/21 22:18
Re: [理工] 幾題成大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 已經兩排0了 應該沒台大那題暴力, 02/18 18:16
[理工] 108交大資演 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 用huffman作法, 02/18 18:37
[理工] 108交大資演 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 真的==撿到一題 那個turnaround time*4也撿到, 02/18 21:46
[請益] 救救臺大ICS備取生(發錢) - 看板 graduate - 批踢踢實業坊,magic83v,: .....不知道該說啥,    39.8.132.68 04/24 11:24
[理工] 108 交大資工 數學（離散 線代） - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 10是問洽一位置不同 屬於 R 嗎？ 還是恰第k個位址不同, 02/13 18:51
[理工] 108 交大資工 數學（離散 線代） - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我寫的是前者作法 n bit string，可從n個位置挑一個不同, 02/13 18:52
[理工] 108 交大資工 數學（離散 線代） - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: n*2^n, 02/13 18:52
[理工] 108 交大資工 數學（離散 線代） - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 看不懂題目orz, 02/13 19:06
[理工] 108交大資演reduction - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 清大也沒考reduction qq, 02/14 16:35
[理工] 108交大資演reduction - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: F大能請問你邊應該加在哪嗎, 02/14 16:36
[理工] 108交大資演reduction - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 好吧噴光 我的圖完全亂畫一通, 02/15 14:32
AVL Tree - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 背一堆priority heap結果忘記avl要拉誰..., 02/14 21:46
交大 105離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/kHvbuvj.jpg, 02/11 14:42
交大 105離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我是想到 考慮最差情況是這樣 則第n^2+1個數 若是某一, 02/11 14:44
交大 105離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 行等差數列的下一項 則得證若不是 也得證, 02/11 14:44
交大 105離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 不過感覺這未必是最差情況 不確定能不能這樣講, 02/11 14:48
[理工] 線性方程組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 上面的-6要砍掉才是rref, 02/11 16:15
[理工] 線性方程組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 下面的不是rref, 02/11 16:15
[理工] 107 電機丙 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 1~12 挑5個數字不相鄰, 02/10 00:00
[理工] 107 電機丙 離散 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 詳解沒有從頭到尾寫清楚 你算式轉換一下也會變成他那樣, 02/10 00:00
107清大 計組 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: ==, 02/10 12:53
[理工] 計系問題求救 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 應該只有一樓跟樓下會, 02/10 14:23
[理工] 離散 pseudo graph表示 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: i 是false 數字帶1.2.3就知道, 02/10 18:43
[理工] 離散 pseudo graph表示 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 倒是b的false 你的答案有給有原因嗎？, 02/10 18:43
[理工] 離散 pseudo graph表示 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 請問一下這是哪份考卷, 02/10 19:37
[閒聊] 這版484充斥一堆垃圾心得(業配)文 - 看板 graduate - 批踢踢實業坊,magic83v,: 四年都有在念的都推甄上了,27.242.43.26 04/15 16:24
Re: [閒聊] 這版484充斥一堆垃圾心得(業配)文 - 看板 graduate - 批踢踢實業坊,magic83v,: Survivorship bias,   27.242.43.26 04/15 18:41
[理工] 104台大電機丙 DS (11)(12)(16) - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 請問G大這句是什麼意思 K4有6條邊 可以有7個點？, 02/10 03:34
[請益] 請問清交大晚上是否有ic設計課程 - 看板 graduate - 批踢踢實業坊,magic83v,: 求書單+1 咦這麼多人要唸硬體,   27.242.43.26 04/14 15:19
[理工] 107中正線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 太暗黑了吧xd, 02/08 18:42
[理工] 107中正線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 不能接受外積的話就想成和他垂直的向量 用ker的作法也一, 02/08 18:42
[理工] 107中正線代 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 樣, 02/08 18:42
[理工] 106台大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,:  https://i.imgur.com/TDahlmb.jpg, 02/07 22:33
[理工] 106台大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 其實過程滿清楚的 不過看你這樣問感覺是不能接受換底的, 02/07 22:35
[理工] 106台大數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 作法 用一樓的方法應該比較好懂吧, 02/07 22:35
[理工] 106 清 資演 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: n/sb  應該是指佔了多少, 02/07 22:46
[理工] 107 台大 數 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": d對吧 有0 有左線性 <2A,B> A每列都*2 跟B行 乘起來的tr",02/05 17:23
[理工] 107 台大 數 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: ace= 2 *A每列跟B行 乘起來的trace,02/05 17:23
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 最後寫反了 u,v是在s.t座標=1.0跟0.1", 02/03 21:59
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 我是想成不同的內積 經過怎樣的變換座標 會得到相同的, 02/03 22:12
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 結果, 02/03 22:12
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 剛講的不好 應該是說 上面是在標準基底定義的內積空間, 02/03 22:38
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,":   想要換成u,v基底變成下面的內積空間  要問的就是v要", 02/03 22:38
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,: 取多少（在標準基底, 02/03 22:38
[理工] 台大106數學 - 看板 Grad-ProbAsk - 批踢踢實業坊,magic83v,": 所以應該是要找的是v:(y1,y2)標準基底座標=(0,1)uv基底", 02/03 22:40
